StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
0050,11082813,20959,1459923222,131.8,132.45,131.3,131.5,-2.1,2021-03-24
0051,21981,31,1065013,48.37,48.65,48.37,48.4,0.03,2021-03-24
0052,1003634,1190,123319223,122.55,123.55,122.05,122.75,-2.0,2021-03-24
0053,11221,15,727736,64.7,65.0,64.7,64.7,-1.35,2021-03-24
0054,2000,2,61830,31.01,31.01,30.82,30.82,-0.19,2021-03-24
0055,113633,67,2178263,19.2,19.22,19.14,19.15,-0.05,2021-03-24
0056,7852468,6162,264108974,33.66,33.75,33.55,33.65,-0.01,2021-03-24
0057,58002,10,5157977,88.95,89.0,88.85,88.9,-1.35,2021-03-24
0061,366063,176,8469174,23.13,23.38,23.0,23.0,-0.13,2021-03-24
006203,1226,4,75806,61.75,61.75,61.75,61.75,-1.25,2021-03-24
006204,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
006205,1521512,384,57518850,37.7,38.26,37.56,37.6,-0.39,2021-03-24
006206,561217,141,21493394,38.4,38.66,38.06,38.1,-0.21,2021-03-24
006207,297000,51,8946230,30.26,30.46,29.95,29.95,-0.36,2021-03-24
006208,2138151,4649,162016564,75.7,76.1,75.4,75.6,-1.1,2021-03-24
00625K,21000,3,183150,8.75,8.75,8.72,8.72,-0.05,2021-03-24
00631L,2829077,1257,307404313,108.85,109.65,108.1,108.45,-2.15,2021-03-24
00632R,105119162,5995,659023472,6.26,6.29,6.24,6.27,0.05,2021-03-24
00633L,10419360,2872,685276625,66.25,67.6,64.65,64.8,-1.05,2021-03-24
00634R,1307000,120,5230250,4.0,4.03,3.96,4.03,0.03,2021-03-24
00635U,338044,140,7890167,23.31,23.41,23.28,23.38,-0.03,2021-03-24
00636,1131791,526,30531602,27.05,27.39,26.79,26.85,-0.25,2021-03-24
00636K,100,1,942,9.42,9.42,9.42,9.42,-0.05,2021-03-24
00637L,67490204,12904,1749131911,26.03,26.56,25.4,25.48,-0.34,2021-03-24
00638R,2029000,207,16405840,8.08,8.17,7.98,8.17,0.07,2021-03-24
00639,1888559,582,29992251,15.98,16.07,15.76,15.76,-0.22,2021-03-24
00640L,1032000,228,29022550,28.41,28.43,27.8,28.05,-1.23,2021-03-24
00641R,711000,142,7734130,10.84,10.94,10.81,10.92,0.25,2021-03-24
00642U,68326777,12680,679377923,9.96,9.97,9.89,9.94,-0.51,2021-03-24
00643,1151482,560,19849304,17.43,17.49,17.1,17.14,-0.29,2021-03-24
00643K,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
00645,284995,44,7172447,25.35,25.35,25.05,25.13,-0.54,2021-03-24
00646,380260,183,12971116,34.13,34.15,34.06,34.11,-0.14,2021-03-24
00647L,121000,22,6602150,54.65,54.7,54.4,54.6,-0.55,2021-03-24
00648R,566000,53,4511740,7.97,7.99,7.96,7.98,0.05,2021-03-24
00650L,1560900,342,45160279,29.61,29.8,28.55,28.57,-1.26,2021-03-24
00651R,873000,116,6240730,7.1,7.21,7.04,7.2,0.15,2021-03-24
00652,243492,228,6267049,25.8,25.89,25.5,25.5,-0.29,2021-03-24
